"Budget","Metric","Design","Method_Gear-FMP","N","n","Effect","EPM","Power"
3500000,"RETAINED_CATCH","FMP.PROX","OB_POT-BSAI",255,18,19.68,45.3,0.41
3500000,"SPECIES","FMP.PROX","OB_POT-BSAI",255,18,-0.05,-3.1,0.06
3500000,"DURATION","FMP.PROX","OB_POT-GOA",831,44,0.22,4.6,0.06
3500000,"RETAINED_CATCH","FMP.PROX","OB_POT-GOA",831,44,0.03,0.2,0.05
3500000,"SPECIES","FMP.PROX","OB_POT-GOA",831,44,-0.23,-9.9,0.18
3500000,"DURATION","FMP.PROX","OB_TRW-BSAI",21,7,0.12,4.3,0.05
3500000,"RETAINED_CATCH","FMP.PROX","OB_TRW-BSAI",21,7,-26.83,-39.7,0.13
3500000,"SPECIES","FMP.PROX","OB_TRW-BSAI",21,7,-0.38,-11.7,0.07
3500000,"DURATION","FMP.PROX","OB_TRW-GOA",368,16,0.23,12.3,0.11
3500000,"RETAINED_CATCH","FMP.PROX","OB_TRW-GOA",368,16,3.38,3.4,0.05
3500000,"SPECIES","FMP.PROX","OB_TRW-GOA",368,16,-0.49,-10.1,0.1
3500000,"DURATION","FMP.STATUS_QUO","EM_HAL-BSAI",32,10,2.24,35.8,0.28
3500000,"RETAINED_CATCH","FMP.STATUS_QUO","EM_HAL-BSAI",32,10,0.95,11.9,0.07
3500000,"SPECIES","FMP.STATUS_QUO","EM_HAL-BSAI",32,10,-0.14,-6.1,0.06
3500000,"DURATION","FMP.STATUS_QUO","EM_HAL-GOA",690,207,0.18,4.6,0.19
3500000,"RETAINED_CATCH","FMP.STATUS_QUO","EM_HAL-GOA",690,207,-0.32,-4.3,0.11
3500000,"SPECIES","FMP.STATUS_QUO","EM_HAL-GOA",690,207,-0.17,-5.5,0.23
3500000,"DURATION","FMP.STATUS_QUO","EM_POT-BSAI",57,17,0.11,3.2,0.05
3500000,"RETAINED_CATCH","FMP.STATUS_QUO","EM_POT-BSAI",57,17,-2.58,-5.9,0.06
3500000,"SPECIES","FMP.STATUS_QUO","EM_POT-BSAI",57,17,0.22,13.3,0.11
3500000,"DURATION","FMP.STATUS_QUO","EM_POT-GOA",296,89,-0.12,-2.5,0.05
3500000,"RETAINED_CATCH","FMP.STATUS_QUO","EM_POT-GOA",296,89,-1.61,-10.1,0.12
3500000,"SPECIES","FMP.STATUS_QUO","EM_POT-GOA",296,89,-0.4,-15.4,0.69
3500000,"DURATION","FMP.STATUS_QUO","EM_TRW-GOA",768,256,-0.12,-7,0.1
